Participant ID;Test ID;Detection_range_in_Meters;FOD;Scenario;Whitecane_pos_X;Whitecane_pos_Y;Whitecane_orientation;Object_detected;Distance_to_object;Person_pos_X;Person_pos_Y;Person_orientation;Person_Speed;Object_collision;Object_pos_X;Object_pos_Y;Time_stamp;Timer;Time_in_MS;Day_nr.
12;58;3;Corridor;1;0;0;0;;0.000;0;0;0;0;;0;0;8/20/2021 9:54:55 AM;00:00:00.0046826;0;1
12;58;3;Corridor;1;-8.169272;-4.495091;157.9796;Box2;0.578;-8.42151;-4.646286;0;0.5110965;;-8.19039;0.3;8/20/2021 9:54:55 AM;00:00:00.0154240;0.0112612;1
12;58;3;Corridor;1;-8.164762;-4.493365;158.0973;Box2;0.576;-8.416436;-4.643489;0;0.3897181;;-8.19039;0.3;8/20/2021 9:54:55 AM;00:00:00.0255094;0.0266763;1
12;58;3;Corridor;1;-8.161482;-4.491799;157.9188;Box2;0.575;-8.411798;-4.640702;0;0.5581521;;-8.19039;0.3;8/20/2021 9:54:55 AM;00:00:00.0348709;0.0370557;1
12;58;3;Corridor;1;-8.157612;-4.490386;157.7567;Box2;0.574;-8.40689;-4.638006;0;0.5642713;;-8.19039;0.3;8/20/2021 9:54:55 AM;00:00:00.0429412;0.0466461;1
12;58;3;Corridor;1;-8.154383;-4.488937;157.3651;Box2;0.573;-8.402276;-4.635437;0;0.7359492;;-8.19039;0.3;8/20/2021 9:54:55 AM;00:00:00.0531726;0.0542545;1
12;58;3;Corridor;1;-8.151415;-4.488005;156.5952;Box2;0.572;-8.397905;-4.632715;0;0.5031401;;-8.19039;0.3;8/20/2021 9:54:55 AM;00:00:00.0688114;0.0647496;1
12;58;3;Corridor;1;-8.148258;-4.486459;156.1156;Box2;0.571;-8.393256;-4.630164;0;0.3289968;;-8.19039;0.3;8/20/2021 9:54:55 AM;00:00:00.0762274;0.0804014;1
12;58;3;Corridor;1;-8.145232;-4.484543;155.6628;Box2;0.570;-8.388791;-4.627699;0;0.7150581;;-8.19039;0.3;8/20/2021 9:54:55 AM;00:00:00.0865393;0.0878177;1
12;58;3;Corridor;1;-8.140886;-4.483054;155.3084;Box2;0.568;-8.38471;-4.625224;0;0.49547;;-8.19039;0.3;8/20/2021 9:54:55 AM;00:00:00.0976269;0.0981114;1
12;58;3;Corridor;1;-8.137255;-4.481099;155.0136;Box2;0.567;-8.380448;-4.622771;0;0.4310227;;-8.19039;0.3;8/20/2021 9:54:55 AM;00:00:00.1088598;0.1091846;1
12;58;3;Corridor;1;-8.133726;-4.479145;154.6949;Box2;0.566;-8.376429;-4.620297;0;0.4413672;;-8.19039;0.3;8/20/2021 9:54:55 AM;00:00:00.1201444;0.1203259;1
12;58;3;Corridor;1;-8.130398;-4.478068;154.4449;Box2;0.565;-8.372465;-4.617886;0;0.4195754;;-8.19039;0.3;8/20/2021 9:54:55 AM;00:00:00.1312394;0.1315753;1
12;58;3;Corridor;1;-8.127613;-4.476354;154.1361;Box2;0.564;-8.368663;-4.615384;0;0.4126968;;-8.19039;0.3;8/20/2021 9:54:55 AM;00:00:00.1425569;0.1428163;1
12;58;3;Corridor;1;-8.124728;-4.474378;153.7416;Box2;0.563;-8.364855;-4.612836;0;0.4098844;;-8.19039;0.3;8/20/2021 9:54:55 AM;00:00:00.1538026;0.1539216;1
12;58;3;Corridor;1;-8.121798;-4.471276;153.3584;Box2;0.561;-8.361129;-4.610461;0;0.4049568;;-8.19039;0.3;8/20/2021 9:54:55 AM;00:00:00.1646284;0.165235;1
12;58;3;Corridor;1;-8.118795;-4.469121;153.1411;Box2;0.559;-8.35746;-4.60783;0;0.4029483;;-8.19039;0.3;8/20/2021 9:54:55 AM;00:00:00.1761021;0.1762014;1
12;58;3;Corridor;1;-8.115772;-4.466987;153.2327;Box2;0.557;-8.354113;-4.605143;0;0.3971331;;-8.19039;0.3;8/20/2021 9:54:55 AM;00:00:00.1871278;0.1875691;1
12;58;3;Corridor;1;-8.115122;-4.465677;153.1824;Box2;0.556;-8.350868;-4.601907;0;0.3865229;;-8.19039;0.3;8/20/2021 9:54:55 AM;00:00:00.1983088;0.1986751;1
