Participant ID;Test ID;Detection_range_in_Meters;FOD;Scenario;Whitecane_pos_X;Whitecane_pos_Y;Whitecane_orientation;Object_detected;Distance_to_object;Person_pos_X;Person_pos_Y;Person_orientation;Person_Speed;Object_collision;Object_pos_X;Object_pos_Y;Time_stamp;Timer;Time_in_MS;Day_nr.
1;11;1;Baseline;3;0;0;0;;0.000;0;0;0;0;;0;0;5/7/2020 10:03:32 AM;00:00:00.0043807;0;1
1;11;1;Baseline;3;-8.492828;-7.54121;168.1731;null;0.000;-8.792282;-7.494013;221.2082;0.2503086;;0;0;5/7/2020 10:03:32 AM;00:00:00.0138028;1.23855E-05;1
1;11;1;Baseline;3;-8.493515;-7.539199;168.2123;null;0.000;-8.792858;-7.493549;221.2813;0.05969365;;0;0;5/7/2020 10:03:32 AM;00:00:00.0203980;2.74609E-05;1
1;11;1;Baseline;3;-8.493827;-7.536893;168.5882;null;0.000;-8.79325;-7.492906;221.3929;0.04999349;;0;0;5/7/2020 10:03:32 AM;00:00:00.0282275;3.40768E-05;1
1;11;1;Baseline;3;-8.494085;-7.534958;168.726;null;0.000;-8.793577;-7.492167;221.5273;0.1220358;;0;0;5/7/2020 10:03:32 AM;00:00:00.0397222;4.21019E-05;1
1;11;1;Baseline;3;-8.495023;-7.5327;168.756;null;0.000;-8.79565;-7.491973;221.6095;0.2594853;;0;0;5/7/2020 10:03:32 AM;00:00:00.0508859;5.33939E-05;1
1;11;1;Baseline;3;-8.496132;-7.530701;168.6918;null;0.000;-8.796009;-7.491291;221.7614;0.06826387;;0;0;5/7/2020 10:03:32 AM;00:00:00.0623960;6.45635E-05;1
1;11;1;Baseline;3;-8.496863;-7.529063;168.4742;null;0.000;-8.796242;-7.490588;221.9422;0.06628494;;0;0;5/7/2020 10:03:32 AM;00:00:00.0732780;7.58344E-05;1
1;11;1;Baseline;3;-8.497614;-7.526891;168.2192;null;0.000;-8.796501;-7.490087;222.041;0.05006783;;0;0;5/7/2020 10:03:32 AM;00:00:00.0843469;8.69653E-05;1
1;11;1;Baseline;3;-8.498363;-7.525431;168.0033;null;0.000;-8.796869;-7.489525;222.1525;0.06029987;;0;0;5/7/2020 10:03:32 AM;00:00:00.0957541;9.80431E-05;1
1;11;1;Baseline;3;-8.499163;-7.523888;167.7447;null;0.000;-8.797279;-7.489076;222.2039;0.05493599;;0;0;5/7/2020 10:03:32 AM;00:00:00.1066940;0.0001094497;1
1;11;1;Baseline;3;-8.50025;-7.521988;167.4523;null;0.000;-8.79711;-7.488886;222.2657;0.02229137;;0;0;5/7/2020 10:03:32 AM;00:00:00.1180155;0.0001203879;1
1;11;1;Baseline;3;-8.501371;-7.520421;167.1947;null;0.000;-8.797607;-7.488528;222.2851;0.05606395;;0;0;5/7/2020 10:03:32 AM;00:00:00.1292059;0.000131699;1
1;11;1;Baseline;3;-8.502056;-7.519075;167.1153;null;0.000;-8.798292;-7.488328;222.1908;0.06308483;;0;0;5/7/2020 10:03:32 AM;00:00:00.1402194;0.000142845;1
1;11;1;Baseline;3;-8.502331;-7.517332;167.2366;null;0.000;-8.797726;-7.487872;222.1472;0.0652362;;0;0;5/7/2020 10:03:32 AM;00:00:00.1516326;0.000153908;1
1;11;1;Baseline;3;-8.503023;-7.51562;167.5434;null;0.000;-8.79849;-7.487733;222.0419;0.0701793;;0;0;5/7/2020 10:03:32 AM;00:00:00.1671744;0.0001653106;1
1;11;1;Baseline;3;-8.503589;-7.514258;167.744;null;0.000;-8.799147;-7.487531;221.9935;0.06027947;;0;0;5/7/2020 10:03:32 AM;00:00:00.1760951;0.0001806983;1
1;11;1;Baseline;3;-8.504238;-7.513271;167.8708;null;0.000;-8.798172;-7.487288;221.9804;0.06527426;;0;0;5/7/2020 10:03:32 AM;00:00:00.1847223;0.0001897824;1
1;11;1;Baseline;3;-8.50545;-7.51235;167.7989;null;0.000;-8.798861;-7.487172;221.9286;0.07687208;;0;0;5/7/2020 10:03:32 AM;00:00:00.1961897;0.0001986068;1
1;11;1;Baseline;3;-8.506233;-7.511697;167.616;null;0.000;-8.799519;-7.487012;221.8763;0.07673571;;0;0;5/7/2020 10:03:32 AM;00:00:00.2072955;0.0002098427;1
1;11;1;Baseline;3;-8.506599;-7.510928;167.5484;null;0.000;-8.796824;-7.486114;221.8662;0.2528519;;0;0;5/7/2020 10:03:32 AM;00:00:00.2185379;0.0002209619;1
