Participant ID;Test ID;Detection_range_in_Meters;FOD;Scenario;Whitecane_pos_X;Whitecane_pos_Y;Whitecane_orientation;Object_detected;Distance_to_object;Person_pos_X;Person_pos_Y;Person_orientation;Person_Speed;Object_collision;Object_pos_X;Object_pos_Y;Time_stamp;Timer;Time_in_MS;Day_nr.
1;1;2;WholeRoom;9;0;0;0;;0.000;0;0;0;0;;0;0;5/7/2020 10:28:40 AM;00:00:00.0044994;0;1
1;1;2;WholeRoom;9;-8.387066;-7.019335;168.2525;null;0.000;-8.634493;-7.186316;208.9879;0.02358927;;0;0;5/7/2020 10:28:40 AM;00:00:00.0138841;1.20413E-05;1
1;1;2;WholeRoom;9;-8.387213;-7.019635;168.1858;null;0.000;-8.634608;-7.186576;208.8403;0.02361407;;0;0;5/7/2020 10:28:40 AM;00:00:00.0206394;2.70598E-05;1
1;1;2;WholeRoom;9;-8.38786;-7.019792;168.1422;null;0.000;-8.634813;-7.186563;208.7298;0.01368141;;0;0;5/7/2020 10:28:40 AM;00:00:00.0290931;3.41266E-05;1
1;1;2;WholeRoom;9;-8.38868;-7.019574;168.1172;null;0.000;-8.634544;-7.186709;208.6544;0.0433289;;0;0;5/7/2020 10:28:40 AM;00:00:00.0408179;4.23816E-05;1
1;1;2;WholeRoom;9;-8.389317;-7.019514;168.1192;null;0.000;-8.634538;-7.186781;208.5842;0.008759687;;0;0;5/7/2020 10:28:40 AM;00:00:00.0561899;5.38289E-05;1
1;1;2;WholeRoom;9;-8.390061;-7.019241;168.2021;null;0.000;-8.634554;-7.186866;208.5024;0.007548638;;0;0;5/7/2020 10:28:40 AM;00:00:00.0625532;6.94793E-05;1
1;1;2;WholeRoom;9;-8.39031;-7.018834;168.3081;null;0.000;-8.634167;-7.186931;208.4262;0.02508466;;0;0;5/7/2020 10:28:40 AM;00:00:00.0739270;7.58443E-05;1
1;1;2;WholeRoom;9;-8.390644;-7.01854;168.427;null;0.000;-8.634054;-7.186946;208.3367;0.01783193;;0;0;5/7/2020 10:28:40 AM;00:00:00.0850392;8.72231E-05;1
1;1;2;WholeRoom;9;-8.390873;-7.018463;168.54;null;0.000;-8.633995;-7.187089;208.2671;0.01364204;;0;0;5/7/2020 10:28:40 AM;00:00:00.0962771;9.83143E-05;1
1;1;2;WholeRoom;9;-8.390835;-7.018229;168.6218;null;0.000;-8.633626;-7.187081;208.2207;0.03328413;;0;0;5/7/2020 10:28:40 AM;00:00:00.1073847;0.0001095713;1
1;1;2;WholeRoom;9;-8.390692;-7.018218;168.7209;null;0.000;-8.633532;-7.187062;208.1607;0.008556551;;0;0;5/7/2020 10:28:40 AM;00:00:00.1186188;0.0001206506;1
1;1;2;WholeRoom;9;-8.390566;-7.018394;168.7803;null;0.000;-8.633646;-7.187068;208.1268;0.01034216;;0;0;5/7/2020 10:28:40 AM;00:00:00.1296881;0.0001318606;1
1;1;2;WholeRoom;9;-8.390582;-7.018739;168.7921;null;0.000;-8.633494;-7.187171;208.0906;0.01632819;;0;0;5/7/2020 10:28:40 AM;00:00:00.1408408;0.0001429821;1
1;1;2;WholeRoom;9;-8.390453;-7.018945;168.7553;null;0.000;-8.633512;-7.187204;208.0844;0.003452723;;0;0;5/7/2020 10:28:40 AM;00:00:00.1521883;0.0001540863;1
1;1;2;WholeRoom;9;-8.390202;-7.019034;168.6441;null;0.000;-8.633846;-7.187034;208.0782;0.03376251;;0;0;5/7/2020 10:28:40 AM;00:00:00.1631707;0.0001654511;1
1;1;2;WholeRoom;9;-8.390215;-7.019195;168.5593;null;0.000;-8.633759;-7.187157;208.0965;0.01329592;;0;0;5/7/2020 10:28:40 AM;00:00:00.1743563;0.0001764587;1
1;1;2;WholeRoom;9;-8.389911;-7.01925;168.455;null;0.000;-8.633856;-7.187274;208.139;0.0138439;;0;0;5/7/2020 10:28:40 AM;00:00:00.1855935;0.0001876458;1
1;1;2;WholeRoom;9;-8.389911;-7.019345;168.3912;null;0.000;-8.63406;-7.187291;208.1921;0.01830742;;0;0;5/7/2020 10:28:40 AM;00:00:00.1968554;0.000198844;1
1;1;2;WholeRoom;9;-8.389656;-7.019405;168.3553;null;0.000;-8.634168;-7.187415;208.2558;0.01463698;;0;0;5/7/2020 10:28:40 AM;00:00:00.2079272;0.0002101344;1
1;1;2;WholeRoom;9;-8.389513;-7.019218;168.3673;null;0.000;-8.634253;-7.187507;208.333;0.01111962;;0;0;5/7/2020 10:28:40 AM;00:00:00.2191465;0.0002212216;1
1;1;2;WholeRoom;9;-8.389402;-7.01898;168.3863;null;0.000;-8.634459;-7.187434;208.4063;0.01972464;;0;0;5/7/2020 10:28:40 AM;00:00:00.2301649;0.0002324369;1
1;1;2;WholeRoom;9;-8.389235;-7.018715;168.3987;null;0.000;-8.634087;-7.187448;208.4994;0.03318591;;0;0;5/7/2020 10:28:40 AM;00:00:00.2414477;0.000243463;1
1;1;2;WholeRoom;9;-8.389112;-7.018504;168.4256;null;0.000;-8.634005;-7.187413;208.5991;0.008063768;;0;0;5/7/2020 10:28:40 AM;00:00:00.2526796;0.0002547452;1
1;1;2;WholeRoom;9;-8.389128;-7.01814;168.4848;null;0.000;-8.633955;-7.187375;208.6869;0.005545522;;0;0;5/7/2020 10:28:40 AM;00:00:00.2638240;0.0002659544;1
1;1;2;WholeRoom;9;-8.389091;-7.017756;168.5294;null;0.000;-8.633596;-7.187309;208.8021;0.03252412;;0;0;5/7/2020 10:28:40 AM;00:00:00.2750189;0.0002771446;1
