Participant ID;Test ID;Detection_range_in_Meters;FOD;Scenario;Whitecane_pos_X;Whitecane_pos_Y;Whitecane_orientation;Object_detected;Distance_to_object;Person_pos_X;Person_pos_Y;Person_orientation;Person_Speed;Object_collision;Object_pos_X;Object_pos_Y;Time_stamp;Timer;Time_in_MS;Day_nr.
4;470;1;Baseline;16;0;0;0;;0.000;0;0;0;0;;0;0;9/3/2020 1:25:31 PM;00:00:00.0047856;0;1
4;470;1;Baseline;16;-8.662613;-7.198254;165.5364;null;0.000;-7.99236;-6.703101;0;1065.097;;0;0;9/3/2020 1:25:31 PM;00:00:00.0155234;0.0111188;1
4;470;1;Baseline;16;-8.662613;-7.198254;165.5364;null;0.000;-7.984623;-6.698701;0;0.7496993;;0;0;9/3/2020 1:25:31 PM;00:00:00.0229215;0.0268863;1
4;470;1;Baseline;16;-8.662613;-7.198254;165.5364;null;0.000;-7.977227;-6.694675;0;0.5645087;;0;0;9/3/2020 1:25:31 PM;00:00:00.0307073;0.0343459;1
4;470;1;Baseline;16;-8.662613;-7.198254;165.5364;null;0.000;-7.969044;-6.690646;0;1.128817;;0;0;9/3/2020 1:25:31 PM;00:00:00.0422189;0.0423776;1
4;470;1;Baseline;16;-8.662613;-7.198254;165.5364;null;0.000;-7.960979;-6.68669;0;1.135626;;0;0;9/3/2020 1:25:31 PM;00:00:00.0534228;0.0536651;1
4;470;1;Baseline;16;-8.662613;-7.198254;165.5364;null;0.000;-7.952654;-6.68289;0;0.795885;;0;0;9/3/2020 1:25:31 PM;00:00:00.0645155;0.0648556;1
4;470;1;Baseline;16;-8.662613;-7.198254;165.5364;null;0.000;-7.944412;-6.678491;0;0.8176982;;0;0;9/3/2020 1:25:31 PM;00:00:00.0757543;0.0759551;1
4;470;1;Baseline;16;-8.662613;-7.198254;165.5364;null;0.000;-7.935574;-6.674698;0;0.8417453;;0;0;9/3/2020 1:25:31 PM;00:00:00.0868129;0.0871894;1
4;470;1;Baseline;16;-8.662613;-7.198254;165.5364;null;0.000;-7.926854;-6.67101;0;0.8560766;;0;0;9/3/2020 1:25:31 PM;00:00:00.0981629;0.0982531;1
4;470;1;Baseline;16;-8.662613;-7.198254;165.5364;null;0.000;-7.917463;-6.667252;0;0.8558009;;0;0;9/3/2020 1:25:31 PM;00:00:00.1165365;0.109635;1
4;470;1;Baseline;16;-8.662613;-7.198254;165.5364;null;0.000;-7.907822;-6.663673;0;0.8886929;;0;0;9/3/2020 1:25:31 PM;00:00:00.1243484;0.1278456;1
4;470;1;Baseline;16;-8.662613;-7.198254;165.5364;null;0.000;-7.898388;-6.660265;0;0.5647216;;0;0;9/3/2020 1:25:31 PM;00:00:00.1318484;0.1357101;1
4;470;1;Baseline;16;-8.662613;-7.198254;165.5364;null;0.000;-7.88762;-6.656208;0;1.27535;;0;0;9/3/2020 1:25:31 PM;00:00:00.1574092;0.1435169;1
4;470;1;Baseline;16;-8.662613;-7.198254;165.5364;null;0.000;-7.870085;-6.65042;0;1.473971;;0;0;9/3/2020 1:25:31 PM;00:00:00.1649620;0.1685915;1
4;470;1;Baseline;16;-8.662613;-7.198254;165.5364;null;0.000;-7.861336;-6.64813;0;0.7364312;;0;0;9/3/2020 1:25:31 PM;00:00:00.1734061;0.1766375;1
4;470;1;Baseline;16;-8.662613;-7.198254;165.5364;null;0.000;-7.856457;-6.646913;0;1.123997;;0;0;9/3/2020 1:25:31 PM;00:00:00.1845972;0.1848456;1
4;470;1;Baseline;16;-8.662613;-7.198254;165.5364;null;0.000;-7.847251;-6.644568;0;0.6126925;;0;0;9/3/2020 1:25:31 PM;00:00:00.1958151;0.1960559;1
4;470;1;Baseline;16;-8.662613;-7.198254;165.5364;null;0.000;-7.836925;-6.641917;0;0.8473564;;0;0;9/3/2020 1:25:31 PM;00:00:00.2069237;0.2072695;1
4;470;1;Baseline;16;-8.662613;-7.198254;165.5364;null;0.000;-7.828168;-6.64016;0;0.9507467;;0;0;9/3/2020 1:25:31 PM;00:00:00.2181107;0.2183862;1
4;470;1;Baseline;16;-8.662613;-7.198254;165.5364;null;0.000;-7.818719;-6.638113;0;0.803454;;0;0;9/3/2020 1:25:31 PM;00:00:00.2293392;0.2295615;1
4;470;1;Baseline;16;-8.662613;-7.198254;165.5364;null;0.000;-7.809242;-6.636748;0;0.8650897;;0;0;9/3/2020 1:25:31 PM;00:00:00.2404536;0.2407966;1
4;470;1;Baseline;16;-8.662613;-7.198254;165.5364;null;0.000;-7.801235;-6.635493;0;0.8522784;;0;0;9/3/2020 1:25:31 PM;00:00:00.2518009;0.2518654;1
4;470;1;Baseline;16;-8.662613;-7.198254;165.5364;null;0.000;-7.791798;-6.634179;0;0.7322212;;0;0;9/3/2020 1:25:31 PM;00:00:00.2627922;0.2632754;1
4;470;1;Baseline;16;-8.662613;-7.198254;165.5364;null;0.000;-7.78121;-6.632193;0;0.8350227;;0;0;9/3/2020 1:25:31 PM;00:00:00.2739972;0.2742604;1
4;470;1;Baseline;16;-8.662613;-7.198254;165.5364;null;0.000;-7.771224;-6.630945;0;0.9806845;;0;0;9/3/2020 1:25:31 PM;00:00:00.2851196;0.2854481;1
4;470;1;Baseline;16;-8.662613;-7.198254;165.5364;null;0.000;-7.76169;-6.629797;0;0.8994859;;0;0;9/3/2020 1:25:31 PM;00:00:00.2963925;0.2965452;1
4;470;1;Baseline;16;-8.662613;-7.198254;165.5364;null;0.000;-7.751287;-6.628481;0;0.8654265;;0;0;9/3/2020 1:25:31 PM;00:00:00.3075688;0.3078679;1
4;470;1;Baseline;16;-8.662613;-7.198254;165.5364;null;0.000;-7.740759;-6.627655;0;0.9260999;;0;0;9/3/2020 1:25:31 PM;00:00:00.3186685;0.3189981;1
4;470;1;Baseline;16;-8.662613;-7.198254;165.5364;null;0.000;-7.731069;-6.627101;0;0.9487301;;0;0;9/3/2020 1:25:31 PM;00:00:00.3298267;0.3301299;1
4;470;1;Baseline;16;-8.662613;-7.198254;165.5364;null;0.000;-7.721717;-6.626561;0;0.871967;;0;0;9/3/2020 1:25:31 PM;00:00:00.3410317;0.3412819;1
4;470;1;Baseline;16;-8.662613;-7.198254;165.5364;null;0.000;-7.711132;-6.625653;0;0.8399655;;0;0;9/3/2020 1:25:31 PM;00:00:00.3521258;0.3524205;1
4;470;1;Baseline;16;-8.662613;-7.198254;165.5364;null;0.000;-7.70128;-6.624691;0;0.9538194;;0;0;9/3/2020 1:25:31 PM;00:00:00.3634540;0.363584;1
4;470;1;Baseline;16;-8.662613;-7.198254;165.5364;null;0.000;-7.692157;-6.624491;0;0.8867124;;0;0;9/3/2020 1:25:31 PM;00:00:00.3745083;0.3749136;1
4;470;1;Baseline;16;-8.662613;-7.198254;165.5364;null;0.000;-7.681907;-6.623991;0;0.8054156;;0;0;9/3/2020 1:25:31 PM;00:00:00.3857288;0.3859281;1
4;470;1;Baseline;16;-8.662613;-7.198254;165.5364;null;0.000;-7.671706;-6.62345;0;0.9316598;;0;0;9/3/2020 1:25:31 PM;00:00:00.3969112;0.3971798;1
4;470;1;Baseline;16;-8.662613;-7.198254;165.5364;null;0.000;-7.661179;-6.622429;0;0.9078938;;0;0;9/3/2020 1:25:31 PM;00:00:00.4082069;0.4083411;1
4;470;1;Baseline;16;-8.662613;-7.198254;165.5364;null;0.000;-7.650873;-6.621246;0;0.9476025;;0;0;9/3/2020 1:25:31 PM;00:00:00.4192340;0.4196559;1
4;470;1;Baseline;16;-8.662613;-7.198254;165.5364;null;0.000;-7.641877;-6.619947;0;0.9168553;;0;0;9/3/2020 1:25:31 PM;00:00:00.4303610;0.4306241;1
