Participant ID;Test ID;Detection_range_in_Meters;FOD;Scenario;Whitecane_pos_X;Whitecane_pos_Y;Whitecane_orientation;Object_detected;Distance_to_object;Person_pos_X;Person_pos_Y;Person_orientation;Person_Speed;Object_collision;Object_pos_X;Object_pos_Y;Time_stamp;Timer
1;2;2;2;3;0;0;0;;0.000;0;0;0;0;;0;0;5/5/2020 9:25:47 AM;00:00:00.0046290
1;2;2;2;3;-8.471839;-7.263671;190.504;null;0.000;-8.735535;-7.348013;260.1093;0;;0;0;5/5/2020 9:25:47 AM;00:00:00.0138064
1;2;2;2;3;-8.472774;-7.263682;190.4398;null;0.000;-8.735276;-7.347738;260.1716;0;;0;0;5/5/2020 9:25:47 AM;00:00:00.0204179
1;2;2;2;3;-8.473595;-7.2637;190.3936;null;0.000;-8.73487;-7.347588;260.2429;0;;0;0;5/5/2020 9:25:47 AM;00:00:00.0292193
1;2;2;2;3;-8.474051;-7.263675;190.2975;null;0.000;-8.734608;-7.347314;260.3054;0;;0;0;5/5/2020 9:25:47 AM;00:00:00.0406410
1;2;2;2;3;-8.474966;-7.263723;190.2466;null;0.000;-8.734343;-7.347039;260.3759;0;;0;0;5/5/2020 9:25:47 AM;00:00:00.0518590
1;2;2;2;3;-8.47593;-7.263234;190.2265;null;0.000;-8.734107;-7.346672;260.459;0;;0;0;5/5/2020 9:25:47 AM;00:00:00.0629872
1;2;2;2;3;-8.476227;-7.263198;190.1773;null;0.000;-8.733738;-7.346378;260.5393;0;;0;0;5/5/2020 9:25:47 AM;00:00:00.0742104
1;2;2;2;3;-8.477014;-7.263265;190.1342;null;0.000;-8.733463;-7.346113;260.6107;0;;0;0;5/5/2020 9:25:47 AM;00:00:00.0856028
1;2;2;2;3;-8.477751;-7.263501;190.0485;null;0.000;-8.73333;-7.345649;260.7004;0;;0;0;5/5/2020 9:25:47 AM;00:00:00.1018596
1;2;2;2;3;-8.478465;-7.263562;189.9306;null;0.000;-8.733254;-7.345439;260.7943;0;;0;0;5/5/2020 9:25:47 AM;00:00:00.1080080
1;2;2;2;3;-8.479479;-7.263602;189.7785;null;0.000;-8.733017;-7.345201;260.8622;0;;0;0;5/5/2020 9:25:47 AM;00:00:00.1185774
1;2;2;2;3;-8.480145;-7.26411;189.6805;null;0.000;-8.733076;-7.344594;260.9499;0;;0;0;5/5/2020 9:25:47 AM;00:00:00.1293757
1;2;2;2;3;-8.480747;-7.264157;189.5456;null;0.000;-8.732962;-7.344374;261.0009;0;;0;0;5/5/2020 9:25:47 AM;00:00:00.1405185
1;2;2;2;3;-8.481661;-7.264204;189.5089;null;0.000;-8.732763;-7.344101;261.0768;0;;0;0;5/5/2020 9:25:47 AM;00:00:00.1517813
1;2;2;2;3;-8.482294;-7.264773;189.5898;null;0.000;-8.733078;-7.343364;261.1649;0;;0;0;5/5/2020 9:25:47 AM;00:00:00.1629215
1;2;2;2;3;-8.482327;-7.26475;189.5864;null;0.000;-8.732854;-7.343044;261.2227;0;;0;0;5/5/2020 9:25:47 AM;00:00:00.1743625
